0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Difference in Expected Annual Damage Deventer-Gorssel,Expected Annual Damage Gorssel,Difference in Expected Number of Deaths Deventer-Gorssel
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,38.0,289.79026657659796,1.5,4.0,0.0,4.0,0.6669141016993084,298.75510269953145,1.5,2.0,8.0,0.0,0.3369938795711919,257.30632268061754,1.5,7.0,9.0,7.0,0.8540067806565522,303.62564361091285,10,0.06901108721858575,346.5464609299665,1.0,0.2849592757485273,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Policy 0,dikesnet,24820722.01203522,0.0486454549794265,0.0162975010637051
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,68.0,310.8094675023582,1.0,7.0,7.0,2.0,0.043053417875292405,192.85234452666487,1.5,4.0,1.0,6.0,0.17099333888798196,317.5808122313301,10,3.0,6.0,1.0,0.1186249396620729,134.3735558609103,1.0,0.8598439406989407,256.5475678715062,10,0.4788129859938065,1.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Policy 0,dikesnet,174230659.88788944,0.0030148467887980146,0.18015244199313735
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,114.0,269.92324574416193,1.0,5.0,6.0,1.0,0.023134075632481085,66.72026750631255,1.5,1.0,8.0,3.0,0.060022770930399705,324.11791282898395,1.5,3.0,9.0,10.0,0.5035406516828076,289.523013781042,10,0.6199315249237757,124.92467689213393,1.0,0.7730755555422569,2.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Policy 0,dikesnet,33533516.26616185,0.005254451607107904,0.019605601545468997
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,153.1943595962613,1.0,9.0,0.0,5.0,0.19195092667592056,125.25463047581982,1.0,3.0,2.0,0.0,0.5099200738374401,97.82760465231222,1.0,5.0,10.0,4.0,0.4464529817282461,334.31632600828505,1.5,0.31986357816815475,96.5114973804615,1.5,0.05574730291825353,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,Policy 0,dikesnet,631968170.7032945,0.029827088345234547,0.6603235576713189
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,127.0,224.5565048768467,10,6.0,6.0,9.0,0.3690029738025812,126.12915753795596,1.0,10.0,6.0,2.0,0.09207027291620619,138.06370269640456,1.5,10.0,10.0,1.0,0.36361689641463,251.53077460137982,1.5,0.3862038369365469,233.00937061401797,10,0.39601155590784837,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,Policy 0,dikesnet,46118209.47909808,0.026733146074813065,0.023501131970196466
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,329.65217609080287,10,10.0,0.0,10.0,0.08686219748530727,153.30636920572653,1.0,3.0,7.0,6.0,0.019096428215752356,159.51509439475535,1.5,4.0,2.0,1.0,0.8804802704985318,34.700743463688575,1.5,0.5979290498659402,180.62294376798016,1.5,0.3639452120418176,2.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Policy 0,dikesnet,216789357.94660607,0.006829413355961556,0.16184095814693883
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,129.0,184.9745061629888,1.5,5.0,9.0,5.0,0.28038411597522606,272.0039840767696,1.5,10.0,9.0,8.0,0.20270015662286348,44.167136208489495,1.5,6.0,10.0,4.0,0.7042710513231295,47.74399754505284,1.5,0.6940618003924209,326.56748655971177,1.0,0.6761202502097917,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Policy 0,dikesnet,36619509.48210833,0.0034130709626605665,0.03191591909691037
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,95.0,93.43178267780205,10,3.0,8.0,0.0,0.35296758897770214,228.79695486008816,1.0,0.0,0.0,1.0,0.5996085599889296,187.50729464511898,1.0,3.0,8.0,8.0,0.036382931903204165,347.633992293058,1.5,0.6394699751314047,161.29326861943437,1.5,0.6175682159319188,3.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,Policy 0,dikesnet,52533451.70097123,0.004337065350073781,0.06763696896413637
1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,122.0,202.89125643942157,1.0,9.0,8.0,4.0,0.48815720977645066,278.27511472560093,1.5,8.0,9.0,7.0,0.49024104573957983,341.6412175795472,1.0,8.0,8.0,5.0,0.3024757199081045,158.18892996073475,1.5,0.9769423504718586,298.93616448044486,1.5,0.8776013288911936,4.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Policy 0,dikesnet,61937673.98995024,0.000540792275434181,0.051276806120051616
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,86.0,320.4992532316666,1.0,10.0,9.0,10.0,0.21696712020658748,314.1718871098287,1.0,0.0,9.0,1.0,0.2743642638661485,291.5476285158645,10,10.0,0.0,2.0,0.22288809938136878,259.8755133449814,10,0.42680805248337583,295.71672460614377,1.5,0.23298050280528254,2.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Policy 0,dikesnet,291372143.2611369,0.019752274476163137,0.3083726914977669
