Difference in Expected Annual Damage Gorssel-Deventer,Difference in Expected Number of Deaths Gorssel-Deventer,Gorssel Expected Annual Damage,Gorssel Expected Number of Deaths,Total Costs of Policies
-1732.9870473955837,-1.612440105808498e-06,0.0,0.0,1113305791.5415974
-1197.4961705740945,-1.176224176575588e-06,0.0,0.0,933021052.4947547
-518.803649977449,-2.718627179611243e-07,52253384.82207869,0.02738174109032648,1087564837.4002512
-513.5588213146187,-5.360925394468827e-07,0.0,0.0,1312439370.4983025
-1441.1350338785196,-1.8364682225135375e-06,0.0,0.0,749429454.8907056
-2169.259940324633,-2.42116862466147e-06,0.0,0.0,1156034381.8919544
-1764.3692068649652,-1.5392118721609304e-06,0.0,0.0,1516868284.8845394
-8758.4595169376,-9.526914275360496e-06,0.0,0.0,1171235493.0675087
-448.0868345958189,-6.158284776764152e-07,0.0,0.0,487143049.48857844
-4470.818684809956,-4.0569470353359795e-06,0.0,0.0,1100159529.0463755
-3563.4382745067196,-3.1861576927199864e-06,0.0,0.0,1318414559.642929
0.0,0.0,0.0,0.0,906626584.3203026
-626.751285094847,-5.154938134342054e-07,0.0,0.0,1429852113.9658046
-282.938924482276,-2.431928647666157e-07,0.0,0.0,1046142372.5504919
-2023.089784555644,-2.333321008291812e-06,0.0,0.0,990218757.129037
-4677.760046899669,-4.694167213750198e-06,0.0,0.0,889250347.7448397
-402.1283117803281,-3.909448397867738e-07,0.0,0.0,1209075700.861328
-489.2722158490555,-4.4089810280167257e-07,0.0,0.0,1126169662.0850463
-316.5862559746027,-3.00606886911795e-07,0.0,0.0,913501334.3865976
-892.5444232256993,-9.84931850934722e-07,0.0,0.0,1186816476.024556
-3114.221614483194,-3.088633601493712e-06,0.0,0.0,1232543919.6385515
-2944.786783948244,-2.3828289763915286e-06,0.0,0.0,1422120834.1841786
-1469.4766299869727,-1.487378889222604e-06,0.0,0.0,1197557429.8600206
-2395.9825260715916,-2.312738273355111e-06,1742760.2571557248,0.0011245452198850128,1324699518.0866199
-5541.523850262936,-5.0024702402697855e-06,1891817.058782887,0.0011763855844013132,1157492602.5827003
-1172.5113189250171,-9.778642056276904e-07,0.0,0.0,1151319223.9000578
-1857.3512755926013,-1.538445947725254e-06,0.0,0.0,1362426372.061472
-331.92108991972515,-3.712956983685368e-07,491418.6344989441,0.00035967617900101444,924018401.3177178
-4443.445346965474,-3.72829566585691e-06,0.0,0.0,1086448694.2222795
-984.514307292721,-7.654922286940674e-07,1429099.1443251912,0.000728502697239652,494127528.5606223
-3036.3691599437484,-3.0801139810524484e-06,0.0,0.0,845510072.854882
-465.0594495462431,-2.37110354489726e-07,46840322.69884806,0.023881517793850712,1201961927.9931092
-2576.664472739775,-2.3228602769330535e-06,0.0,0.0,894455629.788173
-1845.3972641869038,-1.7811247114342646e-06,4178947.780159536,0.0026310550129339137,1436736184.6115675
-8243.554099081419,-7.259757888093164e-06,0.0,0.0,687801204.0968939
-7454.179534893946,-5.8494523045731155e-06,1471580.2697828272,0.0007603521061106445,1250635316.0563338
-889.7466213544006,-6.697563433470775e-07,0.0,0.0,799560261.4227406
-6855.357476032685,-7.710762966031424e-06,0.0,0.0,937107482.2627828
-7719.929405852554,-6.3661871772849975e-06,0.0,0.0,1053931490.6032202
-176.6798643390273,-2.2058135209748475e-07,0.0,0.0,1202627956.2610707
-1472.0053269954076,-1.3439233602607504e-06,1233295.377316507,0.0006715042705453801,997223194.8515097
-2990.1907121896625,-3.025991393855522e-06,0.0,0.0,915887614.4217508
-671.687728466984,-9.230943189381565e-07,0.0,0.0,1105871044.370059
-743.7671574453962,-6.846296349705112e-07,1266868.2629435514,0.000775804153592944,1163353407.5653245
-771.0242750195322,-6.761574027294926e-07,0.0,0.0,553454753.847153
-272.0049800887052,-2.4293874346218313e-07,2980546.12704599,0.0017660699508830265,999624544.2930807
-851.8593930025378,-8.390769568804873e-07,0.0,0.0,503168764.1176165
-930.0557822043204,-1.111691745985089e-06,303540.82550322666,0.00023626202881450603,1143267756.06924
-620.545211188336,-5.168673795830567e-07,0.0,0.0,1027927404.7138442
-5365.670156330629,-5.657354680003999e-06,0.0,0.0,912885125.2754638
-4019.475260830921,-4.2169871563008e-06,41657133.095875606,0.025456808654581893,1332322539.0401084
-4218.148693569507,-4.271584602843986e-06,118221.26771794994,9.018640591084009e-05,1215515516.0596383
-10800.58250906628,-9.138380077266316e-06,316957.02373647504,0.00016244883144801486,590874809.0191956
-4406.0225058719425,-3.208540815456989e-06,6769444.00603002,0.0030394594518225295,1384776441.1712813
-6388.296734761886,-4.638946001421788e-06,0.0,0.0,1130914919.178485
-180.0075607413883,-2.2592607232330957e-07,0.0,0.0,1103675273.8642902
